estado,municipio,businesses,employees,Payroll,expenditures,income,payroll_employee_day,profits_biz_day,sales_employee_day,employees_unit
Chiapas,Ixhuatan,105,389,0.405314238,45.77323997,56.27646067,2.894274762,267.1403827,401.859902,3.704761905
Chiapas,Ixtacomitan,109,545,4.878894518,98.93386594,123.1982913,24.86694454,494.0247416,627.9219741,5
Chiapas,Ixtapa,202,947,5.586682068,179.7759264,238.0492291,16.38707635,724.5134857,698.2553946,4.688118812
Chiapas,Ixtapangajoya,19,100,0.296423846,8.793783908,15.03188762,8.233995708,868.6666466,417.5524338,5.263157895
Chiapas,Jiquipilas,318,1421,12.61011237,396.938344,543.4991809,24.65030958,1170.079704,1062.434868,4.468553459
Chiapas,Jitotol,177,741,4.664138467,55.36894407,81.00591119,17.48439971,329.1404371,303.6658839,4.186440678
Chiapas,Juarez,216,1429,17.99413732,325.3882301,412.3891947,34.9781069,887.4334792,801.6273904,6.615740741
Chiapas,La Concordia,302,1259,8.118383687,204.1160267,315.8059911,17.91188705,952.6451505,696.7743163,4.168874172
Chiapas,La Grandeza,64,288,0.819702675,26.02595528,33.21315523,7.906082898,276.3670693,320.3429324,4.5
Chiapas,La Independencia,336,1500,2.341143433,109.2221375,150.8842348,4.335450802,325.0740233,279.4152496,4.464285714
Chiapas,La Libertad,56,177,0.544451961,24.15784574,30.57924926,8.544443834,291.515454,479.9003336,3.160714286
Chiapas,La Trinitaria,481,2104,14.33723498,261.261953,367.8555648,18.92854216,532.7811091,485.6563752,4.374220374
Chiapas,Larrainzar,156,1005,1.881383999,76.25835752,121.3625387,5.200066332,769.6367014,335.4409582,6.442307692
Chiapas,Las Margaritas,978,4509,40.44370651,1119.179866,1392.571362,24.91542009,661.6331221,857.8961596,4.610429448
Chiapas,Las Rosas,573,2358,8.702157179,287.4094113,400.8991125,10.25133962,507.9869302,472.2682976,4.115183246
Chiapas,Mapastepec,822,4287,53.82210109,1400.93331,1881.749558,34.87423288,1442.937777,1219.286705,5.215328467
Chiapas,Maravilla Tenejapa,66,404,0.190558186,14.89323748,20.61230961,1.310218553,232.6815634,141.723801,6.121212121
Chiapas,Marques de Comillas,89,362,0.852974739,69.32357041,84.93681631,6.545232805,460.6826204,651.7558035,4.06741573
Chiapas,Mazapa de Madero,26,172,1.769468874,65.09830153,95.49239403,28.5766937,3058.186285,1542.189826,6.615384615
Chiapas,Mazatan,408,1876,9.282905937,361.8118096,527.7722347,13.74512251,1066.704243,781.4680092,4.598039216
Chiapas,Metapa,68,352,1.769468874,31.70622329,38.81685669,13.96361169,218.1848255,306.3198918,5.176470588
Chiapas,Mitontic,20,58,0.130063524,4.234381612,5.610352745,6.229095979,173.0427235,268.6950549,2.9
Chiapas,Montecristo de Guerrero,67,296,0.28130018,29.06353176,45.0657321,2.639829016,651.7786138,422.9141526,4.417910448
Chiapas,Motozintla,935,5280,40.75827876,643.2797214,809.3174944,21.44269716,372.1910109,425.7773013,5.647058824
Chiapas,Ocosingo,2070,10935,121.5458756,2515.632751,3373.504773,30.87585114,988.0919847,856.9589933,5.282608696
Chiapas,Ocotepec,68,415,1.131250186,38.56810856,47.47682027,7.571955729,317.7067615,317.7832682,6.102941176
Chiapas,Ocozocoautla de Espinosa,1349,9109,173.834437,4045.520295,5055.519787,53.0105869,1721.779622,1541.674226,6.752409192
Chiapas,Ostuacan,94,502,1.203843781,132.2651926,195.3247468,6.661375502,1827.887421,1080.814225,5.340425532
Chiapas,Osumacinta,52,193,0.178459254,10.43103763,13.5153963,2.568498185,155.2296696,194.5221114,3.711538462
Chiapas,Oxchuc,388,1622,1.826938803,161.8754882,244.2814763,3.128748464,576.8832285,418.3475071,4.180412371
Chiapas,Palenque,1276,9506,206.5801977,4279.161565,5684.361512,60.36544104,2609.325474,1661.044928,7.44984326
Chiapas,Pantelho,251,1580,3.061029915,121.4787586,188.5803512,5.381557515,708.7269,331.5407018,6.294820717
Chiapas,Pantepec,47,269,0.275250714,10.72568255,16.33221241,2.842324594,315.0874199,168.6515119,5.723404255
Chiapas,Pichucalco,489,2966,52.3339324,1247.122587,1647.551419,49.01282348,1977.362525,1542.997882,6.065439673
Chiapas,Pijijiapan,700,3617,49.9685911,1153.428541,1503.933705,38.37479733,1192.605448,1154.988561,5.167142857
Chiapas,Pueblo Nuevo Solistahuacan,298,1603,2.093115317,72.23660626,103.1779454,3.627079984,268.9058897,178.7931403,5.379194631
